,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,sentiment
1,"REGISTRATION CLOSES AT 5PM ON FRIDAY for the sold out Prudential @RideLondon-Surrey 46. 

Do something amazing and… https://t.co/KHh1fTMEIJ",FALSE,0,NA,19/06/2018 13:10,TRUE,NA,1.00906E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TeamMungos,0,FALSE,FALSE,NA,NA,0.591139564
2,RT @LymeAction: Layton and Matt #cycling in @RideLondon #fundraising for our @RCGP Spotlight project to raise awareness in #primarycare - c…,FALSE,0,NA,19/06/2018 13:08,FALSE,NA,1.00906E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",DamonteLorraine,4,TRUE,FALSE,NA,NA,0.631075911
3,Just ordered a couple of packs of @LuchoDillitos to fuel my cycling over the next few months including @RideLondon.… https://t.co/L9uEbRPg6J,FALSE,0,NA,19/06/2018 12:28,TRUE,NA,1.00905E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MeonshoreMike,0,FALSE,FALSE,NA,NA,0.56386215
4,Our @MUChiefExec is going to be #cycling 100 miles in one day on July 29th help her raise money for our work by spo… https://t.co/YTzheTy0xx,FALSE,0,NA,19/06/2018 12:00,TRUE,NA,1.00904E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",MothersUnion,0,FALSE,FALSE,NA,NA,0.528978187
5,@TheBHF @RideLondon I can't wait!! Bring on Box Hill!,FALSE,0,TheBHF,19/06/2018 11:52,FALSE,1.00904E+18,1.00904E+18,21751830,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BenjiBoxing,0,FALSE,FALSE,NA,NA,0.432737919
6,RT @BenjiBoxing: In just over 5 weeks I will be riding 100 miles in the @RideLondon. I am trying to raise £300 for the British Heart founda…,FALSE,0,NA,19/06/2018 11:50,FALSE,NA,1.00904E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mustard966,2,TRUE,FALSE,NA,NA,0.456066364
7,Does anyone have any good advice for #RideLondon /distance #cyclists or know any good articles on training? (if not… https://t.co/VID4MUngd1,FALSE,0,NA,19/06/2018 11:44,TRUE,NA,1.00904E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",georgiacockeril,0,FALSE,FALSE,NA,NA,0.679913061
8,RT @BenjiBoxing: In just over 5 weeks I will be riding 100 miles in the @RideLondon. I am trying to raise £300 for the British Heart founda…,FALSE,0,NA,19/06/2018 11:39,FALSE,NA,1.00904E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TraderJFX,2,TRUE,FALSE,NA,NA,0.456066364
9,@BenjiBoxing @RideLondon Exciting times!,FALSE,1,BenjiBoxing,19/06/2018 11:38,FALSE,1.00904E+18,1.00904E+18,4746587560,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",TheBHF,0,FALSE,FALSE,NA,NA,0.985867017
10,In just over 5 weeks I will be riding 100 miles in the @RideLondon. I am trying to raise £300 for the British Heart… https://t.co/gFZHMxlTfU,FALSE,1,NA,19/06/2018 11:34,TRUE,NA,1.00904E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BenjiBoxing,2,FALSE,FALSE,NA,NA,0.456066364
